Highway,County,Freight count location,Day of Date1,Percentage Change
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 15, 2020",0%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 15, 2020",-25%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 14, 2020",-16%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 14, 2020",-33%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 13, 2020",1%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 13, 2020",-7%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 12, 2020",4%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 12, 2020",-5%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 11, 2020",3%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 11, 2020",-7%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 10, 2020",2%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 10, 2020",0%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 9, 2020",1%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 9, 2020",0%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 8, 2020",17%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 8, 2020",-1%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 7, 2020",4%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 7, 2020",-5%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 6, 2020",5%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 6, 2020",1%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 5, 2020",7%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 5, 2020",-1%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 4, 2020",5%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 4, 2020",3%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 3, 2020",2%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 3, 2020",-1%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 2, 2020",2%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 2, 2020",-5%
I-5,Clark,I-5 at SR 502 (Battle Ground),"March 1, 2020",9%
I-5,Clark,I-5 at SR 14 (WA/OR border),"March 1, 2020",0%
I-5,Lewis,I-5 at Centralia,"June 3, 2020",-13%
I-5,Lewis,I-5 at Centralia,"June 2, 2020",-8%
I-5,Lewis,I-5 at Centralia,"June 1, 2020",-14%
I-5,Lewis,I-5 at Centralia,"May 31, 2020",-25%
I-5,Lewis,I-5 at Centralia,"May 30, 2020",-43%
I-5,Lewis,I-5 at Centralia,"May 29, 2020",-19%
I-5,Lewis,I-5 at Centralia,"May 28, 2020",-12%
I-5,Lewis,I-5 at Centralia,"May 27, 2020",-13%
I-5,Lewis,I-5 at Centralia,"May 26, 2020",-15%
I-5,Lewis,I-5 at Centralia,"May 25, 2020",-23%
I-5,Lewis,I-5 at Centralia,"May 24, 2020",-27%
I-5,Lewis,I-5 at Centralia,"May 23, 2020",-22%
I-5,Lewis,I-5 at Centralia,"May 22, 2020",-19%
I-5,Lewis,I-5 at Centralia,"May 21, 2020",-16%
I-5,Lewis,I-5 at Centralia,"May 20, 2020",-19%
I-5,Lewis,I-5 at Centralia,"May 19, 2020",-18%
I-5,Lewis,I-5 at Centralia,"May 18, 2020",-21%
I-5,Lewis,I-5 at Centralia,"May 17, 2020",-40%
I-5,Lewis,I-5 at Centralia,"May 16, 2020",-36%
I-5,Lewis,I-5 at Centralia,"May 15, 2020",-25%
I-5,Lewis,I-5 at Centralia,"May 14, 2020",-23%
I-5,Lewis,I-5 at Centralia,"May 13, 2020",-22%
I-5,Lewis,I-5 at Centralia,"May 12, 2020",-21%
I-5,Lewis,I-5 at Centralia,"May 11, 2020",-20%
I-5,Lewis,I-5 at Centralia,"May 10, 2020",-31%
I-5,Lewis,I-5 at Centralia,"May 9, 2020",3%
I-5,Lewis,I-5 at Centralia,"May 8, 2020",-28%
I-5,Lewis,I-5 at Centralia,"May 7, 2020",23%
I-5,Lewis,I-5 at Centralia,"May 6, 2020",-23%
I-5,Lewis,I-5 at Centralia,"May 5, 2020",-22%
I-5,Lewis,I-5 at Centralia,"May 4, 2020",-5%
I-5,Lewis,I-5 at Centralia,"May 3, 2020",-42%
I-5,Lewis,I-5 at Centralia,"May 2, 2020",-40%
I-5,Lewis,I-5 at Centralia,"May 1, 2020",-30%
I-5,Lewis,I-5 at Centralia,"April 30, 2020",-37%
I-5,Lewis,I-5 at Centralia,"April 29, 2020",-28%
I-5,Lewis,I-5 at Centralia,"April 28, 2020",-12%
I-5,Lewis,I-5 at Centralia,"April 27, 2020",-28%
I-5,Lewis,I-5 at Centralia,"April 26, 2020",-49%
I-5,Lewis,I-5 at Centralia,"April 25, 2020",-46%
I-5,Lewis,I-5 at Centralia,"April 24, 2020",-36%
I-5,Lewis,I-5 at Centralia,"April 23, 2020",-33%
I-5,Lewis,I-5 at Centralia,"April 22, 2020",-33%
I-5,Lewis,I-5 at Centralia,"April 21, 2020",-29%
I-5,Lewis,I-5 at Centralia,"April 20, 2020",-32%
I-5,Lewis,I-5 at Centralia,"April 19, 2020",-49%
I-5,Lewis,I-5 at Centralia,"April 18, 2020",-45%
I-5,Lewis,I-5 at Centralia,"April 17, 2020",-33%
I-5,Lewis,I-5 at Centralia,"April 16, 2020",-30%
I-5,Lewis,I-5 at Centralia,"April 15, 2020",-30%
I-5,Lewis,I-5 at Centralia,"April 14, 2020",-31%
I-5,Lewis,I-5 at Centralia,"April 13, 2020",-33%
I-5,Lewis,I-5 at Centralia,"April 12, 2020",-59%
I-5,Lewis,I-5 at Centralia,"April 11, 2020",-49%
I-5,Lewis,I-5 at Centralia,"April 10, 2020",-40%
I-5,Lewis,I-5 at Centralia,"April 9, 2020",-35%
I-5,Lewis,I-5 at Centralia,"April 8, 2020",-30%
I-5,Lewis,I-5 at Centralia,"April 7, 2020",-36%
I-5,Lewis,I-5 at Centralia,"April 6, 2020",-35%
I-5,Lewis,I-5 at Centralia,"April 5, 2020",-63%
I-5,Lewis,I-5 at Centralia,"April 4, 2020",-65%
I-5,Lewis,I-5 at Centralia,"April 3, 2020",-41%
I-5,Lewis,I-5 at Centralia,"April 2, 2020",-36%
I-5,Lewis,I-5 at Centralia,"April 1, 2020",-37%
I-5,Lewis,I-5 at Centralia,"March 31, 2020",-35%
I-5,Lewis,I-5 at Centralia,"March 30, 2020",-37%
I-5,Lewis,I-5 at Centralia,"March 29, 2020",-65%
I-5,Lewis,I-5 at Centralia,"March 28, 2020",-61%
I-5,Lewis,I-5 at Centralia,"March 27, 2020",-46%
I-5,Lewis,I-5 at Centralia,"March 26, 2020",-39%
I-5,Lewis,I-5 at Centralia,"March 25, 2020",-31%
I-5,Lewis,I-5 at Centralia,"March 24, 2020",-36%
I-5,Lewis,I-5 at Centralia,"March 23, 2020",-27%
I-5,Lewis,I-5 at Centralia,"March 22, 2020",-45%
I-5,Lewis,I-5 at Centralia,"March 21, 2020",-41%
I-5,Lewis,I-5 at Centralia,"March 20, 2020",-28%
I-5,Lewis,I-5 at Centralia,"March 19, 2020",-20%
I-5,Lewis,I-5 at Centralia,"March 18, 2020",-16%
I-5,Lewis,I-5 at Centralia,"March 17, 2020",-13%
I-5,Lewis,I-5 at Centralia,"March 16, 2020",-11%
I-5,Lewis,I-5 at Centralia,"March 15, 2020",-24%
I-5,Lewis,I-5 at Centralia,"March 14, 2020",-25%
I-5,Lewis,I-5 at Centralia,"March 13, 2020",-12%
I-5,Lewis,I-5 at Centralia,"March 12, 2020",-3%
I-5,Lewis,I-5 at Centralia,"March 11, 2020",-2%
I-5,Lewis,I-5 at Centralia,"March 10, 2020",1%
I-5,Lewis,I-5 at Centralia,"March 9, 2020",-1%
I-5,Lewis,I-5 at Centralia,"March 8, 2020",-2%
I-5,Lewis,I-5 at Centralia,"March 7, 2020",-3%
I-5,Lewis,I-5 at Centralia,"March 6, 2020",1%
I-5,Lewis,I-5 at Centralia,"March 5, 2020",3%
I-5,Lewis,I-5 at Centralia,"March 4, 2020",1%
I-5,Lewis,I-5 at Centralia,"March 3, 2020",-2%
I-5,Lewis,I-5 at Centralia,"March 2, 2020",-1%
I-5,Lewis,I-5 at Centralia,"March 1, 2020",1%
I-5,Thurston,I-5 at Meridian Road (Lacey),"June 3, 2020",-2%
I-5,Thurston,I-5 at Tumwater Blvd.,"June 3, 2020",-7%
I-5,Thurston,I-5 at Meridian Road (Lacey),"June 2, 2020",-7%
I-5,Thurston,I-5 at Tumwater Blvd.,"June 2, 2020",-4%
I-5,Thurston,I-5 at Meridian Road (Lacey),"June 1, 2020",
I-5,Thurston,I-5 at Tumwater Blvd.,"June 1, 2020",-3%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 31, 2020",
I-5,Thurston,I-5 at Tumwater Blvd.,"May 31, 2020",-18%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 30, 2020",-7%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 30, 2020",-12%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 29, 2020",-6%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 29, 2020",-6%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 28, 2020",-6%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 28, 2020",-9%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 27, 2020",-6%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 27, 2020",-9%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 26, 2020",-5%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 26, 2020",-6%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 25, 2020",-45%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 25, 2020",-2%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 24, 2020",-8%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 24, 2020",-9%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 23, 2020",-6%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 23, 2020",-21%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 22, 2020",-7%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 22, 2020",-8%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 21, 2020",-8%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 21, 2020",-7%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 20, 2020",-12%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 20, 2020",-13%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 19, 2020",-10%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 19, 2020",-8%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 18, 2020",-10%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 18, 2020",-7%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 17, 2020",-35%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 17, 2020",-17%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 16, 2020",-8%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 16, 2020",-9%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 15, 2020",-9%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 15, 2020",-12%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 14, 2020",-9%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 14, 2020",-13%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 13, 2020",-11%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 13, 2020",-10%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 12, 2020",-8%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 12, 2020",-9%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 11, 2020",-9%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 11, 2020",-8%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 10, 2020",-26%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 10, 2020",-15%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 9, 2020",-16%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 9, 2020",-15%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 8, 2020",-10%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 8, 2020",-15%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 7, 2020",-13%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 7, 2020",-14%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 6, 2020",-8%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 6, 2020",-10%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 5, 2020",-9%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 5, 2020",-6%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 4, 2020",-8%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 4, 2020",-14%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 3, 2020",-29%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 3, 2020",-14%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 2, 2020",-14%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 2, 2020",-17%
I-5,Thurston,I-5 at Meridian Road (Lacey),"May 1, 2020",-15%
I-5,Thurston,I-5 at Tumwater Blvd.,"May 1, 2020",-20%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 30, 2020",-12%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 30, 2020",-13%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 29, 2020",-13%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 29, 2020",-12%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 28, 2020",-42%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 28, 2020",-40%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 27, 2020",-31%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 27, 2020",-14%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 26, 2020",-33%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 26, 2020",-18%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 25, 2020",-19%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 25, 2020",-17%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 24, 2020",-15%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 24, 2020",-19%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 23, 2020",-4%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 23, 2020",-16%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 22, 2020",-13%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 22, 2020",-12%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 21, 2020",-17%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 21, 2020",-18%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 20, 2020",-10%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 20, 2020",-12%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 19, 2020",-27%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 19, 2020",-10%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 18, 2020",-7%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 18, 2020",-17%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 17, 2020",-12%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 17, 2020",-12%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 16, 2020",-14%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 16, 2020",-17%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 15, 2020",-11%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 15, 2020",-15%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 14, 2020",-12%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 14, 2020",-15%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 13, 2020",-16%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 13, 2020",-16%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 12, 2020",-44%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 12, 2020",-34%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 11, 2020",-25%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 11, 2020",-38%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 10, 2020",-13%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 10, 2020",-14%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 9, 2020",-14%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 9, 2020",-17%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 8, 2020",-14%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 8, 2020",-16%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 7, 2020",-16%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 7, 2020",-17%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 6, 2020",-17%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 6, 2020",-20%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 5, 2020",-27%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 5, 2020",-23%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 4, 2020",-27%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 4, 2020",-34%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 3, 2020",-12%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 3, 2020",-18%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 2, 2020",-14%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 2, 2020",-15%
I-5,Thurston,I-5 at Meridian Road (Lacey),"April 1, 2020",-12%
I-5,Thurston,I-5 at Tumwater Blvd.,"April 1, 2020",-13%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 31, 2020",-10%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 31, 2020",-14%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 30, 2020",-10%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 30, 2020",-7%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 29, 2020",-27%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 29, 2020",-17%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 28, 2020",-24%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 28, 2020",-20%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 27, 2020",-14%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 27, 2020",-16%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 26, 2020",-6%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 26, 2020",-9%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 25, 2020",-3%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 25, 2020",-6%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 24, 2020",-6%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 24, 2020",-9%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 23, 2020",-1%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 23, 2020",-6%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 22, 2020",-11%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 22, 2020",2%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 21, 2020",-5%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 21, 2020",-15%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 20, 2020",-4%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 20, 2020",-1%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 19, 2020",5%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 19, 2020",-7%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 18, 2020",-5%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 18, 2020",-6%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 17, 2020",3%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 17, 2020",0%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 16, 2020",0%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 16, 2020",-2%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 15, 2020",6%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 15, 2020",4%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 14, 2020",-4%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 14, 2020",-4%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 13, 2020",2%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 13, 2020",5%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 12, 2020",-3%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 12, 2020",-3%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 11, 2020",1%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 11, 2020",1%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 10, 2020",4%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 10, 2020",-1%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 9, 2020",-2%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 9, 2020",-2%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 8, 2020",-6%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 8, 2020",15%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 7, 2020",4%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 7, 2020",10%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 6, 2020",2%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 6, 2020",5%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 5, 2020",-3%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 5, 2020",0%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 4, 2020",1%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 4, 2020",-2%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 3, 2020",2%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 3, 2020",0%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 2, 2020",-2%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 2, 2020",-1%
I-5,Thurston,I-5 at Meridian Road (Lacey),"March 1, 2020",13%
I-5,Thurston,I-5 at Tumwater Blvd.,"March 1, 2020",18%
I-5,Pierce,I-5 at Pierce/King county line,"June 3, 2020",-11%
I-5,Pierce,I-5 at Lakewood,"June 3, 2020",-7%
I-5,Pierce,I-5 at Pierce/King county line,"June 2, 2020",-3%
I-5,Pierce,I-5 at Lakewood,"June 2, 2020",-5%
I-5,Pierce,I-5 at Pierce/King county line,"June 1, 2020",-4%
I-5,Pierce,I-5 at Lakewood,"June 1, 2020",-5%
I-5,Pierce,I-5 at Pierce/King county line,"May 31, 2020",-17%
I-5,Pierce,I-5 at Lakewood,"May 31, 2020",-18%
I-5,Pierce,I-5 at Pierce/King county line,"May 30, 2020",-16%
I-5,Pierce,I-5 at Lakewood,"May 30, 2020",-1%
I-5,Pierce,I-5 at Pierce/King county line,"May 29, 2020",-16%
I-5,Pierce,I-5 at Lakewood,"May 29, 2020",-13%
I-5,Pierce,I-5 at Pierce/King county line,"May 28, 2020",-21%
I-5,Pierce,I-5 at Lakewood,"May 28, 2020",-6%
I-5,Pierce,I-5 at Pierce/King county line,"May 27, 2020",-13%
I-5,Pierce,I-5 at Lakewood,"May 27, 2020",-6%
I-5,Pierce,I-5 at Pierce/King county line,"May 26, 2020",-11%
I-5,Pierce,I-5 at Lakewood,"May 26, 2020",-9%
I-5,Pierce,I-5 at Pierce/King county line,"May 25, 2020",-34%
I-5,Pierce,I-5 at Lakewood,"May 25, 2020",-1%
I-5,Pierce,I-5 at Pierce/King county line,"May 24, 2020",-19%
I-5,Pierce,I-5 at Lakewood,"May 24, 2020",-8%
I-5,Pierce,I-5 at Pierce/King county line,"May 23, 2020",-17%
I-5,Pierce,I-5 at Lakewood,"May 23, 2020",-28%
I-5,Pierce,I-5 at Pierce/King county line,"May 22, 2020",-11%
I-5,Pierce,I-5 at Lakewood,"May 22, 2020",-14%
I-5,Pierce,I-5 at Pierce/King county line,"May 21, 2020",-20%
I-5,Pierce,I-5 at Lakewood,"May 21, 2020",-14%
I-5,Pierce,I-5 at Pierce/King county line,"May 20, 2020",-22%
I-5,Pierce,I-5 at Lakewood,"May 20, 2020",-10%
I-5,Pierce,I-5 at Pierce/King county line,"May 19, 2020",-18%
I-5,Pierce,I-5 at Lakewood,"May 19, 2020",-12%
I-5,Pierce,I-5 at Pierce/King county line,"May 18, 2020",-19%
I-5,Pierce,I-5 at Lakewood,"May 18, 2020",-15%
I-5,Pierce,I-5 at Pierce/King county line,"May 17, 2020",-42%
I-5,Pierce,I-5 at Lakewood,"May 17, 2020",-18%
I-5,Pierce,I-5 at Pierce/King county line,"May 16, 2020",-44%
I-5,Pierce,I-5 at Lakewood,"May 16, 2020",-10%
I-5,Pierce,I-5 at Pierce/King county line,"May 15, 2020",-15%
I-5,Pierce,I-5 at Lakewood,"May 15, 2020",-23%
I-5,Pierce,I-5 at Pierce/King county line,"May 14, 2020",-9%
I-5,Pierce,I-5 at Lakewood,"May 14, 2020",-17%
I-5,Pierce,I-5 at Pierce/King county line,"May 13, 2020",-15%
I-5,Pierce,I-5 at Lakewood,"May 13, 2020",-15%
I-5,Pierce,I-5 at Pierce/King county line,"May 12, 2020",-4%
I-5,Pierce,I-5 at Lakewood,"May 12, 2020",-12%
I-5,Pierce,I-5 at Pierce/King county line,"May 11, 2020",-22%
I-5,Pierce,I-5 at Lakewood,"May 11, 2020",-13%
I-5,Pierce,I-5 at Pierce/King county line,"May 10, 2020",-30%
I-5,Pierce,I-5 at Lakewood,"May 10, 2020",-16%
I-5,Pierce,I-5 at Pierce/King county line,"May 9, 2020",-40%
I-5,Pierce,I-5 at Lakewood,"May 9, 2020",-5%
I-5,Pierce,I-5 at Pierce/King county line,"May 8, 2020",-21%
I-5,Pierce,I-5 at Lakewood,"May 8, 2020",-17%
I-5,Pierce,I-5 at Pierce/King county line,"May 7, 2020",-33%
I-5,Pierce,I-5 at Lakewood,"May 7, 2020",-14%
I-5,Pierce,I-5 at Pierce/King county line,"May 6, 2020",-23%
I-5,Pierce,I-5 at Lakewood,"May 6, 2020",-13%
I-5,Pierce,I-5 at Pierce/King county line,"May 5, 2020",-17%
I-5,Pierce,I-5 at Lakewood,"May 5, 2020",-10%
I-5,Pierce,I-5 at Pierce/King county line,"May 4, 2020",12%
I-5,Pierce,I-5 at Lakewood,"May 4, 2020",-13%
I-5,Pierce,I-5 at Pierce/King county line,"May 3, 2020",-41%
I-5,Pierce,I-5 at Lakewood,"May 3, 2020",-20%
I-5,Pierce,I-5 at Pierce/King county line,"May 2, 2020",-41%
I-5,Pierce,I-5 at Lakewood,"May 2, 2020",-16%
I-5,Pierce,I-5 at Pierce/King county line,"May 1, 2020",-41%
I-5,Pierce,I-5 at Lakewood,"May 1, 2020",-26%
I-5,Pierce,I-5 at Pierce/King county line,"April 30, 2020",-24%
I-5,Pierce,I-5 at Lakewood,"April 30, 2020",-19%
I-5,Pierce,I-5 at Pierce/King county line,"April 29, 2020",9%
I-5,Pierce,I-5 at Lakewood,"April 29, 2020",-12%
